samp_name,Sequential G3 Sample No.,Biological Replicate No. (if applicable),Technical Replicate No. (if applicable),Negative control,Cruise/ Expedition ID,expedition_id,expedition_name,samp_category,materialSampleID,neg_cont_type,pos_cont_type,eventDate,verbatimEventDate,env_medium,organism,habitat_natural_artificial_0_1,env_broad_scale,env_local_scale,filter_passive_active_0_1,stationed_sample_dur,pump_flow_rate,pump_flow_rate_unit,prefilter_material,size_frac_low,sample_derived_from,sample_composed_of,samp_collect_device,samp_store_method_additional,size_frac,filter_diameter,filter_surface_area,filter_material,filter_name,precip_chem_prep,precip_force_prep,precip_time_prep,precip_temp_prep,prepped_samp_store_temp,prepped_samp_store_sol,prep_method_additional,line_id,station_id,verbatimStationName,ctd_cast_number,rov_dive_number,samp_collect_method,samp_collect_notes,ctd_bottle_number,rosette_position,maximumDepthInMeters,minimumDepthInMeters,DepthInMeters_method,maximumDepthInMeters_standard_deviation,altitude,altitude_unit,altitude_method,tot_depth_water_col,tot_depth_water_col_method,elev,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLatitude_standard_deviation,decimalLongitude,decimalLongitude_standard_deviation,eventDurationValue,verbatimEventTime,samp_size,samp_size_unit,samp_store_temp,samp_store_sol,dna_store_loc,samp_vol_we_dna_ext,samp_vol_we_dna_ext_unit,samp_weather,temp,temp_standard_deviation,ph,pH_free,pH_total,salinity,conductivity,diss_oxygen,diss_oxygen_unit,methane,methane_unit,hydrogen,hydrogen_unit,beam_attenuation,beam_attenuation_unit,dNTU,turbidity,orp,orp_unit,dE/dt,fluorescence,fluorescence_unit,chlorophyll,theta,sigma_theta,nitrate,nitrate_unit,nitrite,nitrite_unit,ammonium,ammonium_unit,phosphate,phosphate_unit,silicate,silicate_unit,tot_alkalinity,tot_alkalinity_unit,pco2,pco2_unit,percent_d3He,measurements_from,collected_by,extract_id,extract_plate,extract_well_number,extract_well_position,date_ext,concentration,concentration_unit,dna_yield,dna_yield_unit,ratioOfAbsorbance260_280,nucl_acid_ext_lysis,nucl_acid_ext_sep,nucl_acid_ext,nucl_acid_ext_kit,nucl_acid_ext_modify,dna_cleanup_0_1,dna_cleanup_method,concentration_method,pool_dna_num,nucl_acid_ext_method_additional,associatedSequences,Unnamed: 141,Unnamed: 142,Unnamed: 143
E1659.FKt23,1659.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-05_1,not applicable: sample group,not applicable: sample group,2023-03-19T02:23:38Z,2023-03-19,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-05,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Kane OCC - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,2969.179,2968.179,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,23.482,m,Measurement from altitude sensor on CTD.,2992.661,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.60374833,missing: not collected,-45.12495667,missing: not collected,T0S/T1S,2:23:38,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,2.8443,missing: not collected,7.897,missing: not collected,missing: not collected,34.9306,3.2725,240.748,µM,0.4,nM,missing: not collected,not applicable,0.5406,1/m,0.0003,missing: not collected,207.10321,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,2.596,27.8661,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,0.973,ng/µL,0.05,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1660.FKt23,1660.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-06_1,not applicable: sample group,not applicable: sample group,2023-03-19T09:46:49Z,2023-03-19,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-06,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Kane OCC - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,2643.499,2642.499,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,15.276,m,Measurement from altitude sensor on CTD.,2658.775,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.46312333,missing: not collected,-45.11377667,missing: not collected,T0S/T1S,9:46:49,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,3.0035,missing: not collected,7.895,missing: not collected,missing: not collected,34.9452,3.2752,240.419,µM,1.1,nM,1.2,nM,0.5414,1/m,-1E-04,missing: not collected,215.67036,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,2.7859,27.8609,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,0.268,ng/µL,0.01,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1661.FKt23,1661.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-07_1,not applicable: sample group,not applicable: sample group,2023-03-19T21:12:39Z,2023-03-19,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-07,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Kane OCC; AUV start location - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,1410.895,1409.895,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,16.162,m,Measurement from altitude sensor on CTD.,1427.057,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.53742,missing: not collected,-45.10867167,missing: not collected,T0S/T1S,21:12:39,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,5.0385,missing: not collected,7.865,missing: not collected,missing: not collected,35.0256,3.4140,209.034,µM,0.7,nM,1.1,nM,0.524,1/m,-1E-04,missing: not collected,202.30731,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,4.9139,27.7056,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,0.693,ng/µL,0.03,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1662.FKt23,1662.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-08_1,not applicable: sample group,not applicable: sample group,2023-03-20T02:26:47Z,2023-03-20,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-08,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: N of summit; Kane OCC - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,1474.517,1473.517,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,15.159,m,Measurement from altitude sensor on CTD.,1489.676,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.560325,missing: not collected,-45.13104333,missing: not collected,T0S/T1S,2:26:47,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,4.7962,missing: not collected,7.875,missing: not collected,missing: not collected,35.028,3.3950,217.136,µM,0.3,nM,0.4,nM,0.5304,1/m,-1E-04,missing: not collected,218.95321,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,4.668,27.7357,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,1.01,ng/µL,0.05,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1663.FKt23,1663.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-09_1,not applicable: sample group,not applicable: sample group,2023-03-20T05:05:11Z,2023-03-20,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-09,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Near summit; Kane OCC - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,1184.566,1183.566,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,12.673,m,Measurement from altitude sensor on CTD.,1197.239,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.54513833,missing: not collected,-45.12913,missing: not collected,T0S/T1S,5:05:11,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,5.4385,missing: not collected,7.848,missing: not collected,missing: not collected,35.0115,3.4393,191.967,µM,0.3,nM,0.4,nM,0.5319,1/m,-0.0006,missing: not collected,216.97192,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,5.3323,27.645,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,0.353,ng/µL,0.02,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1664.FKt23,1664.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-10_1,not applicable: sample group,not applicable: sample group,2023-03-20T07:42:14Z,2023-03-20,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-10,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: North scarp; Kane OCC - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,1467.013,1466.013,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,44.987,m,Measurement from altitude sensor on CTD.,1512,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.546725,missing: not collected,-45.11342167,missing: not collected,T0S/T1S,7:42:14,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,4.9663,missing: not collected,7.869,missing: not collected,missing: not collected,35.0265,3.4099,211.873,µM,0.4,nM,0.6,nM,0.5368,1/m,0.0002,missing: not collected,213.79983,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,4.8369,27.7153,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,1.21,ng/µL,0.06,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1665.FKt23,1665.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_V23A-11_1,not applicable: sample group,not applicable: sample group,2023-03-20T10:38:28Z,2023-03-20,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,V23A-11,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: North scarp; Kane OCC - Field Notes: bottom Kane regional; Sampled by WHOI group,1,1,1598.715,1597.715,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,5.443,m,Measurement from altitude sensor on CTD.,1604.158,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.508525,missing: not collected,-45.12646333,missing: not collected,T0S/T1S,10:38:28,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,4.3849,missing: not collected,7.886,missing: not collected,missing: not collected,35.0279,3.3631,227.745,µM,0.3,nM,0.5,nM,0.5301,1/m,0.0002,missing: not collected,214.52991,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,4.2493,27.7819,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,1.43,ng/µL,0.07,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1666.FKt23,1666.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-05_15,not applicable: sample group,not applicable: sample group,2023-03-21T04:31:48Z,2023-03-21,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,T23A-05,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow N->S along base OCC adjacent to MAR axis - Field Notes: new plume discovery; first ORP hit; 70 m alt; no bottle inversion,15,15,3798.589,3797.589,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,93.669,m,Measurement from altitude sensor on CTD.,3892.258,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.47129642,missing: not collected,-44.9878058,missing: not collected,T0S/T1S,4:31:48,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,2.4024,missing: not collected,7.895,missing: not collected,missing: not collected,34.8905,3.2609,240.563,µM,1.9,nM,16.3,nM,0.5281,1/m,-0.0003,missing: not collected,194.9662,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,2.0731,27.8781,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,1.01,ng/µL,0.05,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1667.FKt23,1667.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-05_16,not applicable: sample group,not applicable: sample group,2023-03-21T04:39:36Z,2023-03-21,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,T23A-05,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow N->S along base OCC adjacent to MAR axis - Field Notes: new plume discovery; next yo bottom; 15 m alt,16,16,3844.834,3843.834,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,51.869,m,Measurement from altitude sensor on CTD.,3896.703,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.46876015,missing: not collected,-44.98819987,missing: not collected,T0S/T1S,4:39:36,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,2.4033,missing: not collected,7.896,missing: not collected,missing: not collected,34.89,3.2626,241.259,µM,1.8,nM,2.9,nM,0.5283,1/m,0.0002,missing: not collected,193.79807,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,2.0686,27.878,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,1.07,ng/µL,0.05,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
E1668.FKt23,1668.0,,,False,FKt23,FKt230303,FKt230303: R/V Falkor (too) 2023,sample,FKt23_T23A-05_18,not applicable: sample group,not applicable: sample group,2023-03-21T04:44:02Z,2023-03-21,ocean water [ENVO:00002149],marine metagenome,0,marine pelagic biome [ENVO:01000023],marine aphotic zone [ENVO:00000210],1,not applicable,missing: not collected,missing: not collected,not applicable,not applicable,not applicable,not applicable,Niskin Bottle,Water samples were collected from the niskin into sterile Nalgene bottles then filtered through a 0.22 micron sterivex filter using a peristaltic pump.,0.22,not applicable,1000,polyethersulfone,Millipore-Sigma Sterivex Filter,not applicable,not applicable,not applicable,not applicable,-20,ethanol,2 mL of 96% molecular grade ethanol used for preservation,not applicable,Kane Fracture Zone,Kane Fracture Zone,T23A-05,not applicable,https://doi.org/10.5281/zenodo.11398178,Additional Location Description: Tow N->S along base OCC adjacent to MAR axis - Field Notes: new plume discovery; coming up,18,18,3702.243,3701.243,"maximumDepthInMeters from CTD sensor. minimumDepthInMeters calculated as 1 m shallower than maximumDepthInMeters, given the footprint of the CTD/Niskin bottle.",missing: not collected,206.369,m,Calculated by subtracting the maximumDepthInMeters from the tot_depth_water_col.,3908.612,missing: not collected,0,missing: not collected,missing: not collected,degrees minutes seconds,WGS84,23.46711971,missing: not collected,-44.98827,missing: not collected,T0S/T1S,4:44:02,2000,mL,ambient temperature,not applicable,OME -80 Freezer,2000,mL,missing: not collected,2.4564,missing: not collected,7.894,missing: not collected,missing: not collected,34.8955,3.2626,241.991,µM,6.2,nM,51.6,nM,0.5296,1/m,0.0009,missing: not collected,188.2872,mV,missing: not collected,missing: not collected,not applicable,missing: not collected,2.1367,27.8769,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,not applicable,missing: not collected,"All environmental metadata measurements reported for this sample are taken from CTD upcast/bottle data files unless otherwise indicated in the measurement field's corresponding method field. If not specified in the corresponding method field, then the field was measured, not calculated.",Sean McAllister,Falkor_Extraction2,not applicable,not applicable,not applicable,2023-03-25,0.867,ng/µL,0.04,ng DNA/mL seawater,not applicable,physical | enzymatic | thermal,column-based,https://doi.org/10.5281/zenodo.11398154,Qiagen DNeasy Blood and Tissue Kit,"Modified for sterivex, reagent volume altered",0,not applicable,Quant-iT dsDNA high sensitivity kit,1,missing: not provided,not applicable,,,
